NOTES:,This sheet contains merged booths (after 2010). See Merges sheet,,,,,,,,,
,,: merged booths after 2010,,,,,,,,
,,: error. No nearby 2010 matchs,,,,,,,,
,,: a sythesized 2006 result,,,,,,,,
,,,,,,,,,,
BOOTH_NAME,VENUE NAME,ADDRESS,DISTRICT,REGION,GREENS_PERC_2010,GREENS_PERC_2006,VENUE NAME,ADDRESS,LATITUDE,LONGITUDE
Concongella,Concongella Primary School,61 Old Concongella-School Road Concongella,Ripon,Western Victoria,1.88,2.66,Concongella Primary School,61 Old Concongella-School Road Concongella,-37.049296,142.82255
Condah,Condah Hall,5162 Henty Highway Condah,South-West Coast,Western Victoria,3.05,3.97,Condah Hall,5162 Henty Highway Condah,-37.955218,141.746916
Corio,Flinders Peak Secondary College,95 Hendy Street Corio,Lara,Western Victoria,7.29,6.02,Flinders Peak Secondary College,95 Hendy Street Corio,-38.064365,144.365697
Corio Central,Cloverdale Community Centre,167-169 Purnell Road Corio,Lara,Western Victoria,7.02,5.27,Cloverdale Community Centre,167-169 Purnell Road Corio,-38.072735,144.34381
Corio West,Corio Bay Senior College,3 Goldsworthy Road Corio,Lara,Western Victoria,9.18,5.04,Corio Bay Senior College,3 Goldsworthy Road Corio,-38.079259,144.355369
Cororooke,Cororooke Public Hall,Corangamite Lake Road Cororooke,Polwarth,Western Victoria,6.48,7.26,Cororooke Public Hall,Corangamite Lake Road Cororooke,-38.285601,143.522692
Cressy,Cressy Primary School,21 Yarima Road Cressy,Polwarth,Western Victoria,2.53,3.29,Cressy Primary School,21 Yarima Road Cressy,-38.026604,143.633533
Creswick,Creswick Adult Learning Centre and Neighbourhood House,19-21 Victoria Street Creswick,Ripon,Western Victoria,11.23,10.85,Creswick Adult Learning Centre and Neighbourhood House,19-21 Victoria Street Creswick,-37.422128,143.892638
Dadswells Bridge,Dadswells Bridge Public Hall,5820 Western Highway Dadswells Bridge,Lowan,Western Victoria,5.71,5.33,Dadswells Bridge Public Hall,5820 Western Highway Dadswells Bridge,-36.918619,142.517408
Darley,Darley Primary School,Nelson Street Darley,Melton,Western Victoria,10.02,8.83,Darley Primary School,Nelson Street Darley,-37.654996,144.436472
Dartmoor,Dartmoor Hall,Greenham Street Dartmoor,Lowan,Western Victoria,3.72,3.69,Dartmoor Hall,Greenham Street Dartmoor,-37.922042,141.27637
Deans Marsh,Deans Marsh Public Hall,Pennyroyal Valley Road Deans Marsh,Polwarth,Western Victoria,27.34,23.74,Deans Marsh Public Hall,Pennyroyal Valley Road Deans Marsh,-38.398775,143.885112
Delacombe,Delacombe Primary School,Warrina Drive Delacombe,Wendouree,Western Victoria,6.37,5.96,Delacombe Primary School,Warrina Drive Delacombe,-37.585124,143.818203
Dereel,Dereel Soldiers' Memorial Community Centre,Swamp Road Dereel,Buninyong,Western Victoria,15.33,14.29,Dereel Soldiers' Memorial Community Centre,Swamp Road Dereel,-37.819586,143.753478
Dergholm,Dergholm Hall,3502 Casterton-Apsley Road Dergholm,Lowan,Western Victoria,3.75,4.00,Dergholm Hall,3502 Casterton-Apsley Road Dergholm,-37.37091,141.215482
Derrinallum,Derrinallum Community Hall,Main Street Derrinallum,Polwarth,Western Victoria,5.08,5.13,Derrinallum Community Hall,Main Street Derrinallum,-37.948114,143.216717
Dimboola,Dimboola Uniting Church,Normanby Street Dimboola,Lowan,Western Victoria,4.83,4.03,Dimboola Uniting Church,Normanby Street Dimboola,-36.451127,142.026189
Donald,Donald Senior Citizens Centre,4 Hamill Street Donald,Ripon,Western Victoria,3.07,0.00,Donald Senior Citizens Centre,4 Hamill Street Donald,-36.368781,142.981725
Dooen,Dooen Public Hall,1025 Henty Highway Dooen,Lowan,Western Victoria,3.08,3.62,Dooen Public Hall,1025 Henty Highway Dooen,-36.659019,142.255287
